@RELATION twitter-posi-tops
@ATTRIBUTE congrat NUMERIC
@ATTRIBUTE ridicul NUMERIC
@ATTRIBUTE wors NUMERIC
@ATTRIBUTE paid NUMERIC
@ATTRIBUTE threaten NUMERIC
@ATTRIBUTE ly NUMERIC
@ATTRIBUTE piss NUMERIC
@ATTRIBUTE nobodi NUMERIC
@ATTRIBUTE forev NUMERIC
@ATTRIBUTE sick NUMERIC
@ATTRIBUTE best NUMERIC
@ATTRIBUTE corrupt NUMERIC
@ATTRIBUTE favorit NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE emot NUMERIC
@ATTRIBUTE threat NUMERIC
@ATTRIBUTE welcom NUMERIC
@ATTRIBUTE janet NUMERIC
@ATTRIBUTE hell NUMERIC
@ATTRIBUTE bitch NUMERIC
@ATTRIBUTE shame NUMERIC
@ATTRIBUTE leftist NUMERIC
@ATTRIBUTE good NUMERIC
@ATTRIBUTE pretti NUMERIC
@ATTRIBUTE bloodi NUMERIC
@ATTRIBUTE wow NUMERIC
@ATTRIBUTE treat NUMERIC
@ATTRIBUTE absolut NUMERIC
@ATTRIBUTE crap NUMERIC
@ATTRIBUTE thi NUMERIC
@ATTRIBUTE ass NUMERIC
@ATTRIBUTE beauti NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE dai NUMERIC
@ATTRIBUTE hot NUMERIC
@ATTRIBUTE liber NUMERIC
@ATTRIBUTE ruin NUMERIC
@ATTRIBUTE luck NUMERIC
@ATTRIBUTE charact NUMERIC
@ATTRIBUTE birthdai NUMERIC
@ATTRIBUTE alt-rightist NUMERIC
@ATTRIBUTE thank NUMERIC
@ATTRIBUTE fake NUMERIC
@ATTRIBUTE nice NUMERIC
@ATTRIBUTE terrorist NUMERIC
@ATTRIBUTE glad NUMERIC
@ATTRIBUTE fals NUMERIC
@ATTRIBUTE feed NUMERIC
@ATTRIBUTE hate NUMERIC
@ATTRIBUTE tomorrow NUMERIC
@ATTRIBUTE nation NUMERIC
@ATTRIBUTE respect NUMERIC
@ATTRIBUTE cant NUMERIC
@ATTRIBUTE mai NUMERIC
@ATTRIBUTE ant-man NUMERIC
@ATTRIBUTE holi NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE NEGATIONWORD NUMERIC
@ATTRIBUTE scam NUMERIC
@ATTRIBUTE zionist NUMERIC
@ATTRIBUTE disgrac NUMERIC
@ATTRIBUTE puppet NUMERIC
@ATTRIBUTE scum NUMERIC
@ATTRIBUTE nightmar NUMERIC
@ATTRIBUTE delici NUMERIC
@ATTRIBUTE ❤ NUMERIC
@ATTRIBUTE neo NUMERIC
@ATTRIBUTE extremist NUMERIC
@ATTRIBUTE harass NUMERIC
@ATTRIBUTE merri NUMERIC
@ATTRIBUTE ▓ NUMERIC
@ATTRIBUTE fascin NUMERIC
@ATTRIBUTE assang NUMERIC
@ATTRIBUTE vet NUMERIC
@ATTRIBUTE disast NUMERIC
@ATTRIBUTE cutest NUMERIC
@ATTRIBUTE sock NUMERIC
@ATTRIBUTE vibe NUMERIC
@ATTRIBUTE nite NUMERIC
@ATTRIBUTE asham NUMERIC
@ATTRIBUTE handsom NUMERIC
@ATTRIBUTE memor NUMERIC
@ATTRIBUTE almighti NUMERIC
@ATTRIBUTE rage NUMERIC
@ATTRIBUTE sweetheart NUMERIC
@ATTRIBUTE happier NUMERIC
@ATTRIBUTE rogu NUMERIC
@ATTRIBUTE whine NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE hottest NUMERIC
@ATTRIBUTE stir NUMERIC
@ATTRIBUTE niec NUMERIC
@ATTRIBUTE unpopular NUMERIC
@ATTRIBUTE tyrant NUMERIC
@ATTRIBUTE shoutout NUMERIC
@ATTRIBUTE deadli NUMERIC
@ATTRIBUTE otra NUMERIC
@ATTRIBUTE fantast NUMERIC
@ATTRIBUTE excit NUMERIC
@ATTRIBUTE disgust NUMERIC
@ATTRIBUTE amaz NUMERIC
@ATTRIBUTE idiot NUMERIC
@ATTRIBUTE awesom NUMERIC
@ATTRIBUTE happi NUMERIC
@ATTRIBUTE violent NUMERIC
@ATTRIBUTE incred NUMERIC
@ATTRIBUTE brilliant NUMERIC
@ATTRIBUTE &lt;3 NUMERIC
@ATTRIBUTE worst NUMERIC
@ATTRIBUTE fascist NUMERIC
@ATTRIBUTE attract NUMERIC
@ATTRIBUTE moron NUMERIC
@ATTRIBUTE hip NUMERIC
@ATTRIBUTE pathet NUMERIC
@ATTRIBUTE corbyn NUMERIC
@ATTRIBUTE lib NUMERIC
@ATTRIBUTE msm NUMERIC
@ATTRIBUTE nazi NUMERIC
@ATTRIBUTE cream NUMERIC
@ATTRIBUTE love NUMERIC
@ATTRIBUTE stupid NUMERIC
@ATTRIBUTE addict NUMERIC
@ATTRIBUTE divid NUMERIC
@ATTRIBUTE pussi NUMERIC
@ATTRIBUTE garbag NUMERIC
@ATTRIBUTE mood NUMERIC
@ATTRIBUTE roast NUMERIC
@ATTRIBUTE bless NUMERIC
@ATTRIBUTE yai NUMERIC
@ATTRIBUTE terrifi NUMERIC
@ATTRIBUTE dislik NUMERIC
@ATTRIBUTE enforc NUMERIC
@ATTRIBUTE loos NUMERIC
@ATTRIBUTE unbreak NUMERIC
@ATTRIBUTE delight NUMERIC
@ATTRIBUTE toler NUMERIC
@ATTRIBUTE ❤️ NUMERIC
@ATTRIBUTE dnc NUMERIC
@ATTRIBUTE ton NUMERIC
@ATTRIBUTE enjoi NUMERIC
@ATTRIBUTE trash NUMERIC
@ATTRIBUTE dumb NUMERIC
@ATTRIBUTE suck NUMERIC
@ATTRIBUTE coolest NUMERIC
@ATTRIBUTE funniest NUMERIC
@ATTRIBUTE denial NUMERIC
@ATTRIBUTE pit NUMERIC
@ATTRIBUTE belgium NUMERIC
@ATTRIBUTE asian NUMERIC
@ATTRIBUTE stoke NUMERIC
@ATTRIBUTE tf NUMERIC
@ATTRIBUTE lee NUMERIC
@ATTRIBUTE celeb NUMERIC
@ATTRIBUTE communist NUMERIC
@ATTRIBUTE leftov NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE employe NUMERIC
@ATTRIBUTE dust NUMERIC
@ATTRIBUTE cult NUMERIC
@ATTRIBUTE gorgeou NUMERIC
@ATTRIBUTE amen NUMERIC
@ATTRIBUTE cute NUMERIC
@ATTRIBUTE fun NUMERIC
@ATTRIBUTE fuck NUMERIC
@ATTRIBUTE proud NUMERIC
@ATTRIBUTE excel NUMERIC
@ATTRIBUTE crimin NUMERIC
@ATTRIBUTE bullshit NUMERIC
@ATTRIBUTE stole NUMERIC
@ATTRIBUTE perfect NUMERIC
@ATTRIBUTE omg NUMERIC
@ATTRIBUTE murder NUMERIC
@ATTRIBUTE enemi NUMERIC
@ATTRIBUTE ; NUMERIC
@ATTRIBUTE rnc NUMERIC
@ATTRIBUTE isil NUMERIC
@ATTRIBUTE wherev NUMERIC
@ATTRIBUTE rude NUMERIC
@ATTRIBUTE racial NUMERIC
@ATTRIBUTE thatd NUMERIC
@ATTRIBUTE mayor NUMERIC
@ATTRIBUTE object NUMERIC
@ATTRIBUTE wee NUMERIC
@ATTRIBUTE pleasur NUMERIC
@ATTRIBUTE innov NUMERIC
@ATTRIBUTE snake NUMERIC
@ATTRIBUTE fave NUMERIC
@ATTRIBUTE hunt NUMERIC
@ATTRIBUTE swim NUMERIC
@ATTRIBUTE racist NUMERIC
@ATTRIBUTE damn NUMERIC
@ATTRIBUTE li NUMERIC
@ATTRIBUTE supremacist NUMERIC
@ATTRIBUTE scoop NUMERIC
@ATTRIBUTE privileg NUMERIC
@ATTRIBUTE hop NUMERIC
@ATTRIBUTE nope NUMERIC
@ATTRIBUTE adult NUMERIC
@ATTRIBUTE healthi NUMERIC
@ATTRIBUTE sexual NUMERIC
@ATTRIBUTE ignor NUMERIC
@ATTRIBUTE disappoint NUMERIC
@ATTRIBUTE great NUMERIC
@ATTRIBUTE shit NUMERIC
@ATTRIBUTE dog NUMERIC
@ATTRIBUTE trust NUMERIC
@ATTRIBUTE hilari NUMERIC
@ATTRIBUTE horribl NUMERIC
@ATTRIBUTE favourit NUMERIC
@ATTRIBUTE mubarak NUMERIC
@ATTRIBUTE easili NUMERIC
@ATTRIBUTE corpor NUMERIC
@ATTRIBUTE mp NUMERIC
@ATTRIBUTE boruto NUMERIC
@ATTRIBUTE shitti NUMERIC
@ATTRIBUTE hitler NUMERIC
@ATTRIBUTE dirti NUMERIC
@ATTRIBUTE profit NUMERIC
@ATTRIBUTE insur NUMERIC
@ATTRIBUTE traitor NUMERIC
@ATTRIBUTE jfk NUMERIC
@ATTRIBUTE harry NUMERIC
@ATTRIBUTE sensibl NUMERIC
@ATTRIBUTE rot NUMERIC
@ATTRIBUTE melt NUMERIC
@ATTRIBUTE disavow NUMERIC
@ATTRIBUTE steak NUMERIC
@ATTRIBUTE cruel NUMERIC
@ATTRIBUTE 😒 NUMERIC
@ATTRIBUTE people NUMERIC
@ATTRIBUTE ^^ NUMERIC
@ATTRIBUTE bloodborn NUMERIC
@ATTRIBUTE 2dai NUMERIC
@ATTRIBUTE wreck NUMERIC
@ATTRIBUTE flavor NUMERIC
@ATTRIBUTE forgotten NUMERIC
@ATTRIBUTE ia NUMERIC
@ATTRIBUTE divorc NUMERIC
@ATTRIBUTE rc NUMERIC
@ATTRIBUTE supremaci NUMERIC
@ATTRIBUTE margin NUMERIC
@ATTRIBUTE hatr NUMERIC
@ATTRIBUTE witch NUMERIC
@ATTRIBUTE nbc NUMERIC
@ATTRIBUTE clue NUMERIC
@ATTRIBUTE arrog NUMERIC
@ATTRIBUTE unfollow NUMERIC
@ATTRIBUTE wld NUMERIC
@ATTRIBUTE combo NUMERIC
@ATTRIBUTE curs NUMERIC
@ATTRIBUTE nonsens NUMERIC
@ATTRIBUTE utterli NUMERIC
@ATTRIBUTE POSIEMOJI NUMERIC
@ATTRIBUTE NEGEMOJI NUMERIC
@ATTRIBUTE sentiment {positive,negative,neutral}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neutral
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
